second_idx,buy_price_threshold
0,0.5132177685
1,0.5285995458
2,0.5417204094
3,0.5531606212
4,0.5633022522
5,0.5724102832
6,0.580676046
7,0.5882422176
8,0.5952180352
9,0.6016889935
10,0.6077232628
11,0.6133760747
12,0.618692803
13,0.6237111781
14,0.628462913
15,0.6329749185
16,0.6372702265
17,0.6413687011
18,0.6452875946
19,0.6490419857
20,0.6526451306
21,0.6561087446
22,0.6594432327
23,0.6626578777
24,0.665760996
25,0.6687600672
26,0.671661843
27,0.6744724384
28,0.6771974095
29,0.6798418194
30,0.6824102951
31,0.684907076
32,0.6873360562
33,0.6897008209
34,0.6920046781
35,0.6942506867
36,0.6964416807
37,0.6985802911
38,0.7006689641
39,0.7027099789
40,0.7047054619
41,0.7066574002
42,0.7085676539
43,0.7104379662
44,0.7122699731
45,0.7140652123
46,0.7158251306
47,0.7175510911
48,0.7192443795
49,0.7209062097
50,0.7225377294
51,0.7241400245
52,0.7257141235
53,0.7272610017
54,0.7287815845
55,0.730276751
56,0.7317473369
57,0.7331941374
58,0.7346179096
59,0.7360193752
60,0.7373992223
61,0.7387581078
62,0.740096659
63,0.7414154756
64,0.742715131
65,0.7439961739
66,0.7452591301
67,0.7465045031
68,0.7477327758
69,0.7489444115
70,0.7501398548
71,0.7513195329
72,0.7524838561
73,0.753633219
74,0.7547680012
75,0.7558885681
76,0.7569952713
77,0.7580884498
78,0.75916843
79,0.760235527
80,0.7612900443
81,0.7623322753
82,0.7633625029
83,0.7643810004
84,0.765388032
85,0.7663838529
86,0.7673687099
87,0.768342842
88,0.7693064801
89,0.770259848
90,0.7712031623
91,0.7721366327
92,0.7730604626
93,0.7739748492
94,0.7748799834
95,0.7757760508
96,0.7766632311
97,0.7775416988
98,0.7784116235
99,0.7792731697
100,0.7801264973
101,0.7809717615
102,0.7818091134
103,0.7826386996
104,0.783460663
105,0.7842751423
106,0.7850822726
107,0.7858821853
108,0.7866750084
109,0.7874608664
110,0.7882398806
111,0.7890121693
112,0.7897778475
113,0.7905370275
114,0.7912898185
115,0.7920363274
116,0.792776658
117,0.7935109118
118,0.7942391876
119,0.7949615822
120,0.7956781897
121,0.796389102
122,0.7970944091
123,0.7977941986
124,0.7984885561
125,0.7991775653
126,0.7998613081
127,0.8005398642
128,0.8012133118
129,0.8018817273
130,0.8025451853
131,0.8032037587
132,0.803857519
133,0.804506536
134,0.8051508781
135,0.8057906121
136,0.8064258034
137,0.8070565162
138,0.8076828131
139,0.8083047556
140,0.8089224037
141,0.8095358163
142,0.8101450513
143,0.810750165
144,0.8113512128
145,0.8119482491
146,0.8125413271
147,0.8131304988
148,0.8137158154
149,0.814297327
150,0.8148750827
151,0.8154491309
152,0.8160195187
153,0.8165862925
154,0.8171494979
155,0.8177091794
156,0.818265381
157,0.8188181456
158,0.8193675155
159,0.819913532
160,0.8204562359
161,0.8209956671
162,0.8215318649
163,0.8220648678
164,0.8225947136
165,0.8231214396
166,0.8236450822
167,0.8241656773
168,0.8246832602
169,0.8251978656
170,0.8257095275
171,0.8262182794
172,0.8267241542
173,0.8272271843
174,0.8277274015
175,0.8282248371
176,0.8287195218
177,0.8292114858
178,0.8297007591
179,0.8301873708
180,0.8306713497
181,0.8311527241
182,0.8316315221
183,0.8321077709
184,0.8325814976
185,0.8330527287
186,0.8335214905
187,0.8339878086
188,0.8344517084
189,0.8349132149
190,0.8353723526
191,0.8358291457
192,0.836283618
193,0.8367357931
194,0.8371856939
195,0.8376333433
196,0.8380787638
197,0.8385219773
198,0.8389630056
199,0.8394018702
200,0.8398385923
201,0.8402731925
202,0.8407056916
203,0.8411361095
204,0.8415644664
205,0.8419907818
206,0.8424150752
207,0.8428373655
208,0.8432576717
209,0.8436760122
210,0.8440924054
211,0.8445068694
212,0.8449194219
213,0.8453300804
214,0.8457388623
215,0.8461457847
216,0.8465508644
217,0.846954118
218,0.8473555619
219,0.8477552123
220,0.8481530851
221,0.848549196
222,0.8489435607
223,0.8493361944
224,0.8497271122
225,0.8501163292
226,0.85050386
227,0.8508897191
228,0.851273921
229,0.8516564799
230,0.8520374096
231,0.852416724
232,0.8527944368
233,0.8531705614
234,0.8535451112
235,0.8539180992
236,0.8542895385
237,0.8546594418
238,0.8550278218
239,0.855394691
240,0.8557600617
241,0.8561239462
242,0.8564863564
243,0.8568473042
244,0.8572068015
245,0.8575648598
246,0.8579214906
247,0.8582767053
248,0.858630515
249,0.8589829308
250,0.8593339636
251,0.8596836243
252,0.8600319236
253,0.860378872
254,0.8607244799
255,0.8610687577
256,0.8614117155
257,0.8617533635
258,0.8620937116
259,0.8624327697
260,0.8627705475
261,0.8631070546
262,0.8634423006
263,0.8637762949
264,0.8641090468
265,0.8644405654
266,0.86477086
267,0.8650999396
268,0.8654278129
269,0.8657544889
270,0.8660799762
271,0.8664042835
272,0.8667274193
273,0.867049392
274,0.86737021
275,0.8676898815
276,0.8680084147
277,0.8683258176
278,0.8686420984
279,0.8689572648
280,0.8692713246
281,0.8695842857
282,0.8698961557
283,0.8702069422
284,0.8705166527
285,0.8708252945
286,0.8711328751
287,0.8714394018
288,0.8717448816
289,0.8720493218
290,0.8723527295
291,0.8726551115
292,0.8729564747
293,0.8732568262
294,0.8735561725
295,0.8738545204
296,0.8741518766
297,0.8744482476
298,0.87474364
299,0.8750380601
300,0.8753315143
301,0.875624009
302,0.8759155505
303,0.8762061448
304,0.8764957982
305,0.8767845167
306,0.8770723064
307,0.8773591731
308,0.8776451229
309,0.8779301614
310,0.8782142946
311,0.8784975282
312,0.8787798678
313,0.879061319
314,0.8793418875
315,0.8796215787
316,0.8799003982
317,0.8801783513
318,0.8804554434
319,0.8807316799
320,0.8810070659
321,0.8812816068
322,0.8815553076
323,0.8818281736
324,0.8821002097
325,0.8823714211
326,0.8826418127
327,0.8829113894
328,0.8831801562
329,0.8834481178
330,0.8837152792
331,0.8839816451
332,0.8842472201
333,0.884512009
334,0.8847760165
335,0.885039247
336,0.8853017053
337,0.8855633957
338,0.8858243228
339,0.886084491
340,0.8863439047
341,0.8866025684
342,0.8868604862
343,0.8871176625
344,0.8873741015
345,0.8876298076
346,0.8878847847
347,0.8881390371
348,0.888392569
349,0.8886453843
350,0.8888974871
351,0.8891488814
352,0.8893995711
353,0.8896495603
354,0.8898988528
355,0.8901474525
356,0.8903953633
357,0.8906425888
358,0.890889133
359,0.8911349996
360,0.8913801922
361,0.8916247146
362,0.8918685705
363,0.8921117633
364,0.8923542968
365,0.8925961745
366,0.8928373999
367,0.8930779766
368,0.893317908
369,0.8935571976
370,0.8937958488
371,0.894033865
372,0.8942712495
373,0.8945080058
374,0.8947441371
375,0.8949796468
376,0.895214538
377,0.895448814
378,0.8956824781
379,0.8959155334
380,0.8961479832
381,0.8963798304
382,0.8966110783
383,0.8968417299
384,0.8970717884
385,0.8973012566
386,0.8975301378
387,0.8977584348
388,0.8979861507
389,0.8982132883
390,0.8984398507
391,0.8986658407
392,0.8988912612
393,0.899116115
394,0.8993404051
395,0.8995641343
396,0.8997873052
397,0.9000099208
398,0.9002319838
399,0.9004534968
400,0.9006744627
401,0.9008948841
402,0.9011147637
403,0.9013341041
404,0.9015529081
405,0.9017711781
406,0.9019889169
407,0.9022061269
408,0.9024228108
409,0.9026389711
410,0.9028546103
411,0.9030697309
412,0.9032843355
413,0.9034984264
414,0.9037120062
415,0.9039250772
416,0.9041376419
417,0.9043497027
418,0.904561262
419,0.9047723222
420,0.9049828855
421,0.9051929543
422,0.905402531
423,0.9056116178
424,0.905820217
425,0.9060283309
426,0.9062359618
427,0.9064431119
428,0.9066497833
429,0.9068559784
430,0.9070616993
431,0.9072669481
432,0.9074717271
433,0.9076760384
434,0.9078798841
435,0.9080832663
436,0.9082861872
437,0.9084886488
438,0.9086906532
439,0.9088922024
440,0.9090932986
441,0.9092939437
442,0.9094941398
443,0.9096938888
444,0.9098931928
445,0.9100920537
446,0.9102904735
447,0.9104884542
448,0.9106859976
449,0.9108831058
450,0.9110797806
451,0.9112760239
452,0.9114718377
453,0.9116672238
454,0.911862184
455,0.9120567202
456,0.9122508344
457,0.9124445281
458,0.9126378034
459,0.912830662
460,0.9130231057
461,0.9132151363
462,0.9134067555
463,0.9135979651
464,0.9137887669
465,0.9139791626
466,0.9141691539
467,0.9143587425
468,0.9145479302
469,0.9147367186
470,0.9149251093
471,0.9151131042
472,0.9153007048
473,0.9154879128
474,0.9156747299
475,0.9158611575
476,0.9160471975
477,0.9162328514
478,0.9164181207
479,0.9166030071
480,0.9167875122
481,0.9169716375
482,0.9171553846
483,0.9173387551
484,0.9175217504
485,0.9177043721
486,0.9178866217
487,0.9180685008
488,0.9182500109
489,0.9184311534
490,0.9186119298
491,0.9187923416
492,0.9189723903
493,0.9191520773
494,0.9193314042
495,0.9195103722
496,0.9196889829
497,0.9198672377
498,0.9200451379
499,0.9202226851
500,0.9203998806
501,0.9205767258
502,0.920753222
503,0.9209293707
504,0.9211051732
505,0.9212806309
506,0.9214557451
507,0.9216305172
508,0.9218049485
509,0.9219790403
510,0.922152794
511,0.9223262108
512,0.922499292
513,0.9226720391
514,0.9228444531
515,0.9230165355
516,0.9231882875
517,0.9233597104
518,0.9235308054
519,0.9237015737
520,0.9238720167
521,0.9240421356
522,0.9242119315
523,0.9243814057
524,0.9245505595
525,0.924719394
526,0.9248879105
527,0.9250561101
528,0.925223994
529,0.9253915634
530,0.9255588196
531,0.9257257635
532,0.9258923965
533,0.9260587197
534,0.9262247342
535,0.9263904411
536,0.9265558417
537,0.926720937
538,0.9268857282
539,0.9270502163
540,0.9272144026
541,0.927378288
542,0.9275418737
543,0.9277051609
544,0.9278681505
545,0.9280308437
546,0.9281932415
547,0.928355345
548,0.9285171553
549,0.9286786734
550,0.9288399004
551,0.9290008374
552,0.9291614853
553,0.9293218453
554,0.9294819183
555,0.9296417053
556,0.9298012075
557,0.9299604257
558,0.9301193611
559,0.9302780145
560,0.9304363871
561,0.9305944798
562,0.9307522936
563,0.9309098294
564,0.9310670883
565,0.9312240713
566,0.9313807792
567,0.9315372131
568,0.9316933739
569,0.9318492625
570,0.93200488
571,0.9321602272
572,0.9323153051
573,0.9324701146
574,0.9326246567
575,0.9327789322
576,0.9329329421
577,0.9330866874
578,0.9332401688
579,0.9333933873
580,0.9335463439
581,0.9336990394
582,0.9338514746
583,0.9340036506
584,0.9341555681
585,0.934307228
586,0.9344586313
587,0.9346097787
588,0.9347606712
589,0.9349113095
590,0.9350616947
591,0.9352118274
592,0.9353617086
593,0.935511339
594,0.9356607196
595,0.9358098512
596,0.9359587345
597,0.9361073705
598,0.9362557599
599,0.9364039035
600,0.9365518023
601,0.9366994569
602,0.9368468681
603,0.9369940369
604,0.9371409639
605,0.93728765
606,0.937434096
607,0.9375803025
608,0.9377262706
609,0.9378720008
610,0.938017494
611,0.9381627509
612,0.9383077724
613,0.9384525591
614,0.9385971118
615,0.9387414314
616,0.9388855185
617,0.9390293738
618,0.9391729982
619,0.9393163924
620,0.939459557
621,0.939602493
622,0.9397452008
623,0.9398876814
624,0.9400299354
625,0.9401719635
626,0.9403137665
627,0.9404553451
628,0.9405966999
629,0.9407378317
630,0.9408787412
631,0.9410194291
632,0.9411598961
633,0.9413001428
634,0.94144017
635,0.9415799784
636,0.9417195686
637,0.9418589413
638,0.9419980972
639,0.9421370369
640,0.9422757612
641,0.9424142707
642,0.942552566
643,0.9426906479
644,0.9428285169
645,0.9429661738
646,0.9431036192
647,0.9432408537
648,0.943377878
649,0.9435146928
650,0.9436512986
651,0.9437876961
652,0.9439238859
653,0.9440598687
654,0.9441956452
655,0.9443312158
656,0.9444665813
657,0.9446017423
658,0.9447366993
659,0.944871453
660,0.9450060041
661,0.9451403531
662,0.9452745006
663,0.9454084472
664,0.9455421935
665,0.9456757402
666,0.9458090878
667,0.945942237
668,0.9460751882
669,0.9462079421
670,0.9463404993
671,0.9464728604
672,0.9466050259
673,0.9467369964
674,0.9468687725
675,0.9470003548
676,0.9471317438
677,0.9472629401
678,0.9473939443
679,0.9475247568
680,0.9476553784
681,0.9477858095
682,0.9479160508
683,0.9480461026
684,0.9481759657
685,0.9483056405
686,0.9484351276
687,0.9485644275
688,0.9486935408
689,0.9488224681
690,0.9489512097
691,0.9490797664
692,0.9492081386
693,0.9493363268
694,0.9494643315
695,0.9495921534
696,0.9497197929
697,0.9498472505
698,0.9499745267
699,0.9501016222
700,0.9502285373
701,0.9503552726
702,0.9504818286
703,0.9506082058
704,0.9507344047
705,0.9508604258
706,0.9509862696
707,0.9511119367
708,0.9512374274
709,0.9513627424
710,0.951487882
711,0.9516128469
712,0.9517376374
713,0.951862254
714,0.9519866973
715,0.9521109677
716,0.9522350657
717,0.9523589918
718,0.9524827465
719,0.9526063302
720,0.9527297433
721,0.9528529865
722,0.9529760601
723,0.9530989645
724,0.9532217004
725,0.9533442681
726,0.9534666681
727,0.9535889008
728,0.9537109667
729,0.9538328663
730,0.9539546
731,0.9540761682
732,0.9541975715
733,0.9543188102
734,0.9544398849
735,0.9545607959
736,0.9546815436
737,0.9548021286
738,0.9549225513
739,0.9550428121
740,0.9551629114
741,0.9552828497
742,0.9554026274
743,0.9555222449
744,0.9556417027
745,0.9557610011
746,0.9558801407
747,0.9559991218
748,0.9561179449
749,0.9562366103
750,0.9563551186
751,0.95647347
752,0.9565916651
753,0.9567097042
754,0.9568275877
755,0.9569453161
756,0.9570628898
757,0.9571803091
758,0.9572975745
759,0.9574146864
760,0.9575316452
761,0.9576484512
762,0.9577651049
763,0.9578816067
764,0.957997957
765,0.9581141561
766,0.9582302045
767,0.9583461025
768,0.9584618506
769,0.958577449
770,0.9586928983
771,0.9588081988
772,0.9589233508
773,0.9590383549
774,0.9591532112
775,0.9592679203
776,0.9593824824
777,0.9594968981
778,0.9596111675
779,0.9597252912
780,0.9598392695
781,0.9599531027
782,0.9600667913
783,0.9601803355
784,0.9602937358
785,0.9604069926
786,0.9605201061
787,0.9606330768
788,0.960745905
789,0.960858591
790,0.9609711353
791,0.9610835382
792,0.9611958
793,0.961307921
794,0.9614199018
795,0.9615317425
796,0.9616434436
797,0.9617550053
798,0.9618664281
799,0.9619777123
800,0.9620888582
801,0.9621998662
802,0.9623107366
803,0.9624214698
804,0.9625320661
805,0.9626425257
806,0.9627528492
807,0.9628630368
808,0.9629730888
809,0.9630830055
810,0.9631927874
811,0.9633024347
812,0.9634119478
813,0.963521327
814,0.9636305726
815,0.9637396849
816,0.9638486643
817,0.9639575111
818,0.9640662256
819,0.9641748082
820,0.9642832591
821,0.9643915787
822,0.9644997673
823,0.9646078252
824,0.9647157527
825,0.9648235502
826,0.9649312179
827,0.9650387561
828,0.9651461653
829,0.9652534456
830,0.9653605975
831,0.9654676211
832,0.9655745169
833,0.965681285
834,0.9657879259
835,0.9658944398
836,0.966000827
837,0.9661070879
838,0.9662132226
839,0.9663192316
840,0.9664251151
841,0.9665308735
842,0.9666365069
843,0.9667420158
844,0.9668474003
845,0.9669526608
846,0.9670577977
847,0.9671628111
848,0.9672677013
849,0.9673724688
850,0.9674771136
851,0.9675816362
852,0.9676860368
853,0.9677903157
854,0.9678944732
855,0.9679985095
856,0.968102425
857,0.9682062199
858,0.9683098945
859,0.9684134491
860,0.968516884
861,0.9686201994
862,0.9687233956
863,0.9688264729
864,0.9689294315
865,0.9690322718
866,0.969134994
867,0.9692375984
868,0.9693400852
869,0.9694424547
870,0.9695447072
871,0.969646843
872,0.9697488623
873,0.9698507653
874,0.9699525524
875,0.9700542238
876,0.9701557798
877,0.9702572207
878,0.9703585466
879,0.9704597579
880,0.9705608548
881,0.9706618375
882,0.9707627064
883,0.9708634617
884,0.9709641036
885,0.9710646325
886,0.9711650484
887,0.9712653518
888,0.9713655429
889,0.9714656218
890,0.9715655889
891,0.9716654444
892,0.9717651886
893,0.9718648217
894,0.9719643439
895,0.9720637555
896,0.9721630568
897,0.972262248
898,0.9723613293
899,0.9724603009